timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751997875168,1548,https://bugbank.netlify.app/,200,OK,Thread Group 1-1,text,true,,24205,500,4,4,https://bugbank.netlify.app/,1511,0,1472
1751997876311,405,https://bugbank.netlify.app/,200,OK,Thread Group 1-4,text,true,,24205,500,4,4,https://bugbank.netlify.app/,368,0,329
1751997875313,1403,https://bugbank.netlify.app/,200,OK,Thread Group 1-2,text,true,,24205,500,4,4,https://bugbank.netlify.app/,1366,0,1327
1751997875811,905,https://bugbank.netlify.app/,200,OK,Thread Group 1-3,text,true,,24205,500,4,4,https://bugbank.netlify.app/,868,0,830
1751997876813,157,https://bugbank.netlify.app/,200,OK,Thread Group 1-5,text,true,,24205,500,5,5,https://bugbank.netlify.app/,124,0,91
1751997877311,151,https://bugbank.netlify.app/,200,OK,Thread Group 1-6,text,true,,24205,500,6,6,https://bugbank.netlify.app/,120,0,79
1751997877811,134,https://bugbank.netlify.app/,200,OK,Thread Group 1-7,text,true,,24205,500,7,7,https://bugbank.netlify.app/,99,0,69
1751997878316,149,https://bugbank.netlify.app/,200,OK,Thread Group 1-8,text,true,,24205,500,8,8,https://bugbank.netlify.app/,116,0,86
1751997878813,144,https://bugbank.netlify.app/,200,OK,Thread Group 1-9,text,true,,24205,500,9,9,https://bugbank.netlify.app/,103,0,73
1751997879313,159,https://bugbank.netlify.app/,200,OK,Thread Group 1-10,text,true,,24205,500,10,10,https://bugbank.netlify.app/,130,0,75
1751997924222,2157,https://bugbank.netlify.app/home,200,OK,Thread Group 1-3,text,true,,21915,504,10,10,https://bugbank.netlify.app/home,2123,0,1675
1751997875810,3062,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,46120,1004,10,10,null,2991,47508,2505
1751997924222,2173,https://bugbank.netlify.app/home,200,OK,Thread Group 1-2,text,true,,21915,504,9,9,https://bugbank.netlify.app/home,2134,0,1673
1751997875311,3576,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,46120,1004,9,9,null,3500,47509,3000
1751997924954,1505,https://bugbank.netlify.app/home,200,OK,Thread Group 1-6,text,true,,21915,504,8,8,https://bugbank.netlify.app/home,1482,0,941
1751997877310,1656,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-6,,true,,46120,1004,8,8,null,1602,47494,1020
1751997925437,1030,https://bugbank.netlify.app/home,200,OK,Thread Group 1-7,text,true,,21915,504,7,7,https://bugbank.netlify.app/home,994,0,460
1751997877809,1164,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-7,,true,,46120,1004,7,7,null,1093,47495,529
1751997924461,2006,https://bugbank.netlify.app/home,200,OK,Thread Group 1-5,text,true,,21910,504,7,7,https://bugbank.netlify.app/home,1958,0,1439
1751997876811,2163,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,46115,1004,7,7,null,2082,47494,1530
1751997925956,513,https://bugbank.netlify.app/home,200,OK,Thread Group 1-8,text,true,,21915,504,5,5,https://bugbank.netlify.app/home,475,0,78
1751997924222,2245,https://bugbank.netlify.app/home,200,OK,Thread Group 1-1,text,true,,21915,504,7,7,https://bugbank.netlify.app/home,2212,0,1676
1751997878313,662,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-8,,true,,46120,1004,5,5,null,591,47496,164
1751997874830,3793,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,46120,1004,7,7,null,3723,47848,3148
1751997924222,2245,https://bugbank.netlify.app/home,200,OK,Thread Group 1-4,text,true,,21915,504,7,7,https://bugbank.netlify.app/home,2212,0,1674
1751997876310,2650,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,46120,1004,7,7,null,2580,47512,2003
1751997926448,195,https://bugbank.netlify.app/home,200,OK,Thread Group 1-9,text,true,,21910,504,2,2,https://bugbank.netlify.app/home,144,0,109
1751997878811,339,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-9,,true,,46115,1004,2,2,null,247,47494,182
1751997926964,149,https://bugbank.netlify.app/home,200,OK,Thread Group 1-10,text,true,,21910,504,1,1,https://bugbank.netlify.app/home,108,0,70
1751997879312,308,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-10,,true,,46115,1004,1,1,null,238,47494,145
